,ConstituentID,Classification,DateAcquired,Cataloged,ObjectID,Height(cm),Width(cm)
68985,5695.0,Print,10/01/1974,N,75813,72.8,52.3
38880,229.0,Photograph,06/03/1968,N,42588,,
72659,4079.0,Painting,29/09/1949,Y,80256,24.1,39.7
68644,6037.0,Print,04/12/1969,Y,75448,67.7,71.4
76659,5219.0,Drawing,20/04/1977,Y,85394,29.21005842,20.95504191
30117,640.0,Illustrated Book,18/10/1967,N,32609,17.5,19.7
84833,4550.0,Print,13/11/1995,N,100837,41.1,27.7
27707,4840.0,Illustrated Book,06/10/1964,Y,30120,18.3,17.8
72298,4016.0,Design,20/10/1938,Y,79723,157.5,203.2
47202,8595.0,Photograph,,N,51417,16.0,21.9
77308,8595.0,Photograph,14/06/2001,Y,86376,8.8,28.5
92126,7166.0,Mies van der Rohe Archive,,Y,121996,60.96012192,106.6802134
119718,24409.0,Design,22/02/2016,Y,201391,33.02006604,33.02006604
49159,1973.0,Photograph,05/12/1984,N,53450,21.8,32.7
36190,229.0,Photograph,06/03/1968,N,39895,,
60716,2374.0,Print,20/10/1938,Y,66532,22.0,28.5
79267,3567.0,Drawing,10/02/2004,Y,89944,27.9401,21.59
76327,1055.0,Drawing,26/04/1945,Y,85029,53.0226,36.8301
62958,3832.0,Print,05/04/1940,Y,69070,28.5,27.4
100703,8059.0,Mies van der Rohe Archive,,N,143649,39.37007874,76.51765304
3500,4195.0,Design,03/01/1945,Y,4954,73.5,91.6
57814,4546.0,Print,04/06/1985,Y,63276,24.3,35.2
38925,229.0,Photograph,06/03/1968,N,42633,,
120420,6168.0,Architecture,10/06/2016,N,204175,54.61010922,88.9001778
32279,4448.0,Drawing,05/05/1993,N,35236,15.9,11.1
83215,8043.0,Drawing,10/05/2005,Y,97189,41.91008382,29.84505969
76480,1633.0,Drawing,10/10/1968,Y,85182,14.2875,8.5725
50532,6170.0,Photograph,17/12/1981,N,55022,32.1,26.8
62429,5414.0,Print,19/12/1958,N,68498,14.0,17.6
81121,8464.0,Drawing,08/02/2005,Y,94519,29.5276,29.5276
